,EmpNumber,Age,Gender,EducationBackground,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,EmpJobSatisfaction,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,TotalWorkExperienceInYears,TrainingTimesLastYear,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,PerformanceRating
0,0,32,1,2,2,5,13,2,10,3,4,55,3,2,4,1,0,12,4,10,2,2,10,7,0,8,0,3
1,1,47,1,2,2,5,13,2,14,4,4,42,3,2,1,2,0,12,4,20,2,3,7,7,1,7,0,3
2,2,40,1,1,1,5,13,1,5,4,4,48,2,3,1,5,1,21,3,20,2,3,18,13,1,12,0,4
3,3,41,1,0,0,3,8,2,10,4,2,73,2,5,4,3,0,15,2,23,2,2,21,6,12,6,0,3
4,4,60,1,2,2,5,13,2,16,4,1,84,3,2,1,8,0,14,4,10,1,3,2,2,2,2,0,3
5,5,27,1,1,0,1,3,1,10,2,4,32,3,3,1,1,0,21,3,9,4,2,9,7,1,7,0,4
6,6,50,1,2,1,5,14,2,8,4,4,54,3,1,2,7,0,15,4,4,2,3,2,2,2,2,0,3
7,7,28,0,1,2,1,3,2,1,2,1,67,1,1,2,7,1,13,4,10,4,3,7,7,3,7,1,3
8,8,36,0,1,1,1,3,0,8,3,1,63,4,3,1,9,0,14,1,10,2,3,8,7,0,5,0,3
9,9,38,0,1,2,1,3,2,1,3,3,81,3,3,3,4,1,14,4,10,4,4,1,0,0,0,0,3
10,10,44,1,3,2,1,3,0,24,3,1,49,1,1,3,2,0,14,3,9,5,3,5,2,1,4,0,3
11,11,47,0,3,0,5,13,1,3,3,4,49,3,4,3,9,1,12,4,28,2,2,22,2,11,13,0,3
12,12,30,1,2,0,5,13,2,27,5,3,99,3,2,4,7,0,23,4,10,2,2,8,7,7,7,0,4
13,13,29,1,1,2,5,14,2,10,3,3,99,3,1,3,1,0,11,3,1,6,3,1,0,0,0,0,3
14,14,42,1,3,0,1,3,1,19,3,3,57,4,1,3,6,1,12,4,7,2,3,2,2,2,2,1,3
15,15,34,0,3,2,1,3,2,8,2,2,96,3,2,3,3,0,11,4,10,2,3,5,1,4,3,0,3
16,16,39,0,0,1,3,6,2,3,3,3,44,4,2,2,9,0,15,3,12,3,1,8,3,3,6,0,3
17,17,56,1,3,1,1,3,2,9,3,3,81,3,4,4,7,0,11,3,30,1,2,10,7,1,1,0,3
18,18,40,0,3,2,1,3,2,2,1,4,86,2,1,4,0,1,20,4,5,2,2,4,2,2,3,0,4
19,19,27,0,3,2,1,3,2,7,3,4,55,2,2,1,8,0,19,1,9,2,1,7,6,0,7,0,3
20,20,29,1,2,0,5,14,2,10,3,4,83,3,1,2,1,0,14,4,2,2,3,2,2,2,2,0,3
21,21,53,1,1,2,1,3,2,6,3,4,86,3,2,4,2,0,17,4,19,4,3,2,2,2,2,0,3
22,22,35,0,1,0,1,15,0,2,4,4,61,3,2,1,2,0,11,1,16,2,4,1,0,0,0,0,3
23,23,32,1,1,1,1,3,1,24,4,1,80,3,2,4,1,0,15,4,10,2,3,10,8,4,7,0,3
24,24,34,0,1,0,1,3,2,8,5,2,32,3,2,1,3,0,14,3,7,3,3,0,0,0,0,0,3
25,25,52,1,2,1,5,8,2,3,4,3,31,2,4,1,1,0,11,1,34,3,4,34,6,1,16,0,4
26,26,33,1,4,2,1,3,2,1,4,4,63,3,1,4,1,1,13,3,10,2,2,10,9,7,8,1,3
27,27,25,0,3,2,5,13,2,26,1,3,32,3,2,4,1,0,23,2,6,5,2,6,5,1,4,0,4
28,28,45,1,5,2,5,14,2,2,2,2,46,1,2,3,0,0,13,1,9,3,3,8,7,3,1,0,3
29,29,23,1,3,2,1,3,2,10,1,1,79,4,1,3,1,0,18,4,2,3,3,2,2,0,2,0,3
30,30,47,0,1,2,5,13,1,27,2,2,77,4,2,3,4,1,12,4,8,2,3,5,4,1,3,1,3
31,31,34,1,4,2,5,13,2,2,3,4,60,3,2,4,1,0,22,3,6,5,3,6,5,1,4,0,4
32,32,36,1,1,2,5,13,0,8,4,1,76,2,3,1,1,0,15,2,10,1,3,10,7,0,9,0,3
33,33,52,1,3,1,1,3,0,19,4,4,41,3,1,4,0,0,18,1,5,3,3,4,3,1,2,0,3
34,34,26,0,1,0,1,3,1,1,2,1,71,1,1,4,3,0,14,1,5,2,3,2,2,2,0,0,3
35,35,29,0,3,1,1,3,2,27,3,2,66,3,2,3,4,0,12,1,11,3,2,8,7,1,1,0,3
36,36,26,1,5,2,5,13,2,8,3,4,38,2,2,1,6,0,17,3,6,2,2,4,3,1,2,1,3
37,37,34,0,1,2,1,3,2,1,4,2,72,4,1,4,2,0,16,3,10,2,3,4,2,1,3,0,3
38,38,54,0,3,0,1,3,2,19,4,4,95,3,2,1,9,1,11,2,9,4,3,5,3,1,4,0,3
